Sequence;Species1;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size
3442.0;Alcedo coerulescens;Alcedinidae;Coraciiformes;AVIBASE-8999E4A9;4;2;2;0;4;35.9;28.6;4.9;6.2;8.8;59.3;14.3;45.0;24.2;25.8;34.9;Inferred;;YES;Body Mass;Ceyx azureus;Riverine;2;1.0;Carnivore;Aquatic predator;Insessorial;-9.11;-2.29;-6.43;108.99;218566.25
3436.0;Alcedo euryzona;Alcedinidae;Coraciiformes;AVIBASE-64A8A820;20;10;10;0;0;52.1;38.4;7.7;10.3;11.6;85.6;17.1;62.7;21.4;35.1;43.1;Dunning;;YES;"Beak Nares; Beak Width; Beak Depth; Tarsus Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length";Alcedo peninsulae;Riverine;1;1.0;Carnivore;Aquatic predator;Insessorial;-8.78;-5.88;-7.3;109.94;125365.64
3438.0;Alcedo hercules;Alcedinidae;Coraciiformes;AVIBASE-56A1C8E5;4;2;2;0;4;56.5;43.6;7.8;11.1;12.2;96.0;25.0;71.0;26.0;45.2;62.5;Updated_literature;Dunning (2021);NO;;;Riverine;2;1.0;Carnivore;Aquatic predator;Insessorial;14.59;28.33;22.73;100.19;698178.98
3437.0;Alcedo meninting;Alcedinidae;Coraciiformes;AVIBASE-39629250;12;3;6;3;4;41.9;34.0;5.2;7.2;8.7;65.0;15.9;47.3;25.2;28.5;20.4;Dunning;;NO;;;Riverine;2;1.0;Carnivore;Aquatic predator;Insessorial;-8.96;28.42;10.45;101.99;3655192.84
3435.0;Alcedo peninsulae;Alcedinidae;Coraciiformes;AVIBASE-9C5F80D9;27;8;18;1;8;49.4;38.4;7.7;10.3;11.6;80.7;17.1;62.7;21.4;35.1;43.1;DataFromSplit;;NO;;;Riverine;1;1.0;Carnivore;Aquatic predator;Insessorial;-5.95;15.64;1.04;107.59;1168022.53
3439.0;Alcedo quadribrachys;Alcedinidae;Coraciiformes;AVIBASE-A376DE65;5;1;4;0;4;48.4;36.5;7.3;9.2;11.8;77.1;20.0;57.6;25.8;36.0;34.9;Dunning;;NO;;;Wetland;2;1.0;Carnivore;Aquatic predator;Insessorial;-13.61;13.71;1.58;13.95;4674328.28
3440.0;Alcedo semitorquata;Alcedinidae;Coraciiformes;AVIBASE-F9F5CAB0;5;2;3;0;4;49.6;38.5;7.0;9.0;10.7;80.6;19.8;60.3;24.7;39.4;47.3;Dunning;;NO;;;Wetland;2;1.0;Carnivore;Aquatic predator;Insessorial;-34.84;15.91;-13.94;29.18;3463736.2
3469.0;Caridonax fulgidus;Alcedinidae;Coraciiformes;AVIBASE-E96B0BA9;4;1;2;1;4;50.9;37.2;13.5;15.3;21.4;132.5;29.9;102.6;22.6;110.2;171.8;EltonTraits_Model;;NO;;;Forest;1;1.0;Carnivore;Invertivore;Insessorial;-9.11;-8.07;-8.61;119.11;33455.22
3447.0;Ceryle rudis;Alcedinidae;Coraciiformes;AVIBASE-8205077F;6;3;3;0;4;64.2;50.6;9.1;11.6;11.0;136.2;47.5;90.0;34.5;75.7;84.4;Dunning;;NO;;;Wetland;3;1.0;Carnivore;Aquatic predator;Insessorial;-34.84;38.95;7.17;44.36;23875911.23
3431.0;Ceyx argentatus;Alcedinidae;Coraciiformes;AVIBASE-FEA93A09;8;4;4;0;8;35.3;29.5;6.2;7.5;9.7;59.2;12.7;46.5;21.5;22.8;17.8;Dunning;;NO;;;Riverine;1;1.0;Carnivore;Aquatic predator;Insessorial;5.56;10.47;7.68;124.8;96693.82
